expression,result
67 + 42,109
(6 + 54) * 3,180
(67 + 3) * (99 - 79),1400
51^2,2601
69 * 86,5934
65^2,4225
29 * 89,2581
39 - 36,3
90^2,8100
57^2,3249
99^2,9801
(34 + 71) * 36,3780
85 + 73,158
(48 + 13) * 97,5917
37 - 23,14
25^2,625
43^2,1849
(8 + 95) * 31,3193
57 + 22,79
97 - 61,36
91 * 84,7644
59 + 91,150
98 + 43,141
46^2,2116
(1 + 3) * 28,112
(33 + 23) * (94 - 91),168
(86 + 55) * (43 - 29),1974
66 + 17,83
(38 + 55) * (44 - 34),930
73 * 93,6789
(86 + 6) * (72 - 63),828
70 - 11,59
(38 + 38) * (43 - 1),3192
33^2,1089
81 * 88,7128
96^2,9216
(58 + 10) * 80,5440
42 - 32,10
15 * 85,1275
83 - 77,6
61 * 29,1769
90 * 94,8460
86 + 71,157
14^2,196
(83 + 91) * 75,13050
(53 + 1) * (78 - 19),3186
43 + 36,79
25^2,625
47 + 64,111
82 + 34,116
41 * 70,2870
84 + 83,167
24^2,576
61 * 50,3050
42 * 16,672
79 + 22,101
41 + 53,94
(1 + 13) * 89,1246
(96 + 17) * (85 - 23),7006
41^2,1681
98^2,9604
58 + 55,113
32 + 25,57
60 + 60,120
(77 + 90) * (88 - 46),7014
91 - 15,76
(76 + 11) * 76,6612
22 + 100,122
48 * 15,720
92 + 36,128
89^2,7921
53 + 92,145
56 - 23,33
56^2,3136
83 - 44,39
57 + 49,106
(52 + 45) * 28,2716
0 / 6,0
76 + 87,163
74^2,5476
72^2,5184
22 + 18,40
(58 + 25) * 46,3818
92^2,8464
71 - 37,34
67 + 30,97
(80 + 48) * (84 - 17),8576
(11 + 35) * (95 - 52),1978
(88 + 95) * 50,9150
(61 + 50) * (85 - 40),4995
87 + 52,139
94 + 32,126
90^2,8100
46 * 33,1518
(28 + 6) * (75 - 16),2006
79^2,6241
66 * 61,4026
79^2,6241
25 * 60,1500
77 * 23,1771
70 * 89,6230
51^2,2601
12 + 83,95
(83 + 40) * 69,8487
48 + 12,60
57 + 41,98
85 - 41,44
20^2,400
80^2,6400
25^2,625
90 / 90,1
76^2,5776
23 * 15,345
40 - 18,22
85 - 39,46
(38 + 94) * (68 - 57),1452
15 + 34,49
75 * 18,1350
74 + 15,89
46 * 90,4140
76 + 17,93
70 + 41,111
99^2,9801
70^2,4900
38^2,1444
38 - 12,26
(57 + 23) * 77,6160
91 * 64,5824
57^2,3249
97 + 17,114
60^2,3600
97 - 56,41
53 + 81,134
77 * 93,7161
79 - 46,33
(39 + 76) * (70 - 15),6325
24 + 61,85
37 + 87,124
66 * 54,3564
60^2,3600
17 * 77,1309
27 * 79,2133
16 + 81,97
45 + 74,119
80^2,6400
72 + 86,158
47^2,2209
87 * 61,5307
(84 + 92) * 1,176
44^2,1936
(51 + 84) * 64,8640
12 * 39,468
91^2,8281
(55 + 55) * 28,3080
89^2,7921
68 + 38,106
(83 + 90) * (37 - 12),4325
92^2,8464
62 * 89,5518
48 * 54,2592
67 * 47,3149
60 - 33,27
74 - 21,53
(23 + 51) * (34 - 22),888
(19 + 15) * 93,3162
97 * 13,1261
74^2,5476
71^2,5041
25^2,625
23^2,529
(40 + 34) * 67,4958
81 - 31,50
63^2,3969
49 + 82,131
83 - 72,11
(18 + 38) * 41,2296
52 * 21,1092
(28 + 97) * 97,12125
60^2,3600
56 + 66,122
98 * 41,4018
68 + 69,137
57 * 54,3078
91 * 77,7007
(79 + 17) * 52,4992
92 - 15,77
25^2,625
47^2,2209
(90 + 80) * 61,10370
67 - 42,25
12^2,144
40 + 21,61
71^2,5041
76^2,5776
64 + 63,127
12 + 76,88
99 - 83,16
90^2,8100
(74 + 33) * (82 - 17),6955
95 + 22,117
(65 + 8) * (93 - 71),1606
88 - 29,59
(73 + 28) * (87 - 29),5858
56 + 45,101
69^2,4761
66 - 25,41
76 + 83,159
90 - 75,15
97 - 59,38
(31 + 38) * 36,2484
44^2,1936
94 + 51,145
10 * 33,330
(44 + 44) * 46,4048
37 + 54,91
94 - 38,56
40 - 22,18
56^2,3136
(39 + 72) * 53,5883
97 + 64,161
41 * 95,3895
20 + 26,46
51^2,2601
72 * 12,864
(60 + 81) * 69,9729
22^2,484
97 + 51,148
80 + 42,122
46 + 52,98
70 + 42,112
(62 + 88) * 79,11850
58^2,3364
58 * 55,3190
95 - 14,81
(39 + 91) * 91,11830
43 + 67,110
12^2,144
44 + 49,93
40^2,1600
47 - 20,27
43 + 79,122
90 + 100,190
6 + 12,18
81 * 100,8100
(24 + 23) * 98,4606
(90 + 81) * 64,10944
47^2,2209
52 + 21,73
41 + 55,96
(43 + 24) * 14,938
92^2,8464
82 - 55,27
94 - 74,20
(14 + 81) * 75,7125
98 - 50,48
53 * 98,5194
89 - 27,62
93 * 74,6882
(54 + 79) * 70,9310
56 * 28,1568
97 * 31,3007
(29 + 43) * 28,2016
65 + 34,99
58 + 38,96
(48 + 92) * (80 - 46),4760
(75 + 57) * 53,6996
54^2,2916
51 - 40,11
46 + 80,126
30^2,900
70 * 51,3570
52 * 14,728
(19 + 31) * (82 - 82),0
56 + 43,99
53 * 48,2544
0 + 8,8
30 + 13,43
63 * 24,1512
71^2,5041
(78 + 65) * (93 - 1),13156
69^2,4761
(92 + 10) * 85,8670
65 + 96,161
88 * 80,7040
29 * 79,2291
16^2,256
25 + 23,48
42 * 51,2142
47 + 90,137
(68 + 2) * (13 - 9),280
95 + 96,191
(68 + 73) * 38,5358
95 * 35,3325
55 * 22,1210
85 - 70,15
(41 + 36) * 1,77
95 * 57,5415
79 + 16,95
(62 + 78) * 60,8400
55 * 10,550
53^2,2809
93 + 79,172
(61 + 59) * (83 - 39),5280
51^2,2601
(92 + 62) * 39,6006
31 / 31,1
(72 + 18) * 85,7650
13 * 45,585
43 + 15,58
91 - 57,34
20^2,400
17^2,289
(61 + 26) * 21,1827
(57 + 43) * (94 - 82),1200
4 + 9,13
(92 + 13) * 74,7770
65 - 21,44
57 + 77,134
(52 + 17) * 76,5244
56 + 39,95
14 + 24,38
97 + 13,110
98 + 14,112
19 + 32,51
25 * 71,1775
73 + 72,145
22 + 90,112
93 * 79,7347
76 - 72,4
47^2,2209
37^2,1369
39^2,1521
75^2,5625
(54 + 65) * 49,5831
76^2,5776
35^2,1225
11^2,121
98 + 41,139
20 * 74,1480
19 * 63,1197
35^2,1225
(3 + 77) * (58 - 8),4000
69 * 75,5175
42 * 43,1806
64 * 14,896
55 * 84,4620
(25 + 49) * (86 - 67),1406
96 - 66,30
81 + 94,175
78 - 38,40
85 + 86,171
50 * 56,2800
64 + 80,144
36 * 37,1332
62 * 35,2170
97 * 73,7081
48^2,2304
(48 + 87) * 64,8640
22^2,484
99 * 21,2079
83 * 17,1411
22 + 31,53
98 - 74,24
31 + 33,64
28^2,784
76 + 16,92
92 * 15,1380
66 + 34,100
34 + 92,126
94 * 26,2444
79^2,6241
61^2,3721
18 + 41,59
52 * 70,3640
29^2,841
60 - 48,12
64 / 32,2
74 + 85,159
80 * 58,4640
0 / 8,0
74^2,5476
80 * 26,2080
(52 + 73) * (91 - 15),9500
85 - 73,12
57 * 14,798
18 + 28,46
38^2,1444
12^2,144
(16 + 13) * 21,609
76 - 54,22
50^2,2500
50 + 44,94
25 + 60,85
53^2,2809
94 * 79,7426
36^2,1296
(92 + 33) * 96,12000
96 - 71,25
83 + 37,120
33 * 20,660
(61 + 93) * (99 - 88),1694
(6 + 4) * 26,260
92 - 17,75
50 + 19,69
91 * 57,5187
(82 + 7) * 44,3916
(47 + 97) * 39,5616
68 * 96,6528
43 * 90,3870
78^2,6084
91^2,8281
(82 + 61) * 87,12441
88^2,7744
48^2,2304
57 - 23,34
87 - 86,1
92 - 36,56
45 + 45,90
34 + 101,135
(70 + 86) * 93,14508
80 + 32,112
79 + 76,155
20 * 79,1580
45^2,2025
56 + 53,109
28^2,784
61 * 80,4880
75 - 40,35
(92 + 9) * (59 - 58),101
49 * 77,3773
(77 + 42) * (99 - 97),238
77^2,5929
35 + 52,87
37^2,1369
78 + 64,142
25 + 17,42
29 * 31,899
45 * 82,3690
39 * 85,3315
91 + 41,132
(42 + 31) * 85,6205
(59 + 65) * (38 - 2),4464
73 + 90,163
24 + 100,124
(85 + 79) * (50 - 46),656
33 + 84,117
14^2,196
37 + 60,97
84 * 48,4032
44 * 72,3168
47 * 58,2726
70 * 11,770
95 - 88,7
(21 + 88) * 50,5450
17 + 26,43
(25 + 92) * 47,5499
(68 + 22) * 1,90
59 + 66,125
(78 + 18) * 2,192
67 * 26,1742
(26 + 53) * (68 - 53),1185
91 - 71,20
25 + 64,89
49^2,2401
50 * 32,1600
33 + 20,53
22 + 24,46
50 - 32,18
29 + 102,131
87^2,7569
89 + 57,146
83 + 72,155
91 + 58,149
49 * 16,784
95^2,9025
35^2,1225
(93 + 33) * 31,3906
23 + 15,38
54^2,2916
15 * 34,510
48 - 12,36
28^2,784
84 * 44,3696
33 + 71,104
14 + 69,83
82 * 24,1968
(33 + 49) * 73,5986
68 + 17,85
34 * 36,1224
18 * 39,702
(6 + 45) * 60,3060
(50 + 27) * 87,6699
62 * 27,1674
62 * 41,2542
72 * 45,3240
71 * 51,3621
15 * 83,1245
76 * 72,5472
(60 + 28) * (95 - 5),7920
98 * 66,6468
(30 + 64) * 12,1128
(34 + 52) * 74,6364
95 * 23,2185
44 * 28,1232
(25 + 43) * 64,4352
(96 + 78) * 4,696
83 * 14,1162
14^2,196
56 + 67,123
64 + 53,117
(87 + 29) * 47,5452
19^2,361
22^2,484
(93 + 1) * 63,5922
67 + 10,77
(53 + 17) * (68 - 14),3780
(66 + 14) * 66,5280
56 - 45,11
25 * 73,1825
61 * 27,1647
70^2,4900
75^2,5625
16 * 89,1424
22^2,484
29^2,841
68 * 51,3468
(38 + 87) * 50,6250
57^2,3249
(94 + 59) * 18,2754
(33 + 86) * (12 - 4),952
6^2,36
57 * 44,2508
56 + 24,80
72^2,5184
(80 + 98) * 31,5518
19^2,361
18 + 17,35
13 * 96,1248
58 * 54,3132
31 * 21,651
46 * 49,2254
39 + 18,57
65^2,4225
54 * 56,3024
(40 + 29) * 84,5796
67^2,4489
(99 + 70) * (96 - 12),14196
(71 + 2) * (40 - 12),2044
(36 + 68) * 15,1560
71^2,5041
99 - 42,57
76 * 84,6384
83^2,6889
35 + 27,62
(26 + 29) * 8,440
39 * 39,1521
12 + 20,32
(79 + 32) * 10,1110
95 + 67,162
(88 + 73) * (95 - 59),5796
(79 + 86) * 53,8745
(6 + 27) * 63,2079
68^2,4624
97^2,9409
69^2,4761
32^2,1024
36^2,1296
33^2,1089
52^2,2704
30^2,900
43^2,1849
47^2,2209
79 + 96,175
41 * 55,2255
90^2,8100
(7 + 80) * (39 - 5),2958
(80 + 64) * 35,5040
90 - 56,34
35 * 27,945
76 - 17,59
(95 + 3) * 91,8918
59 * 95,5605
(24 + 7) * 49,1519
92 * 92,8464
66^2,4356
97 * 26,2522
38^2,1444
79 * 26,2054
(46 + 27) * 34,2482
(71 + 15) * (92 - 43),4214
75 - 67,8
50 + 16,66
(1 + 37) * 96,3648
48^2,2304
99^2,9801
47 * 58,2726
(79 + 60) * (90 - 43),6533
88 + 91,179
42 + 59,101
41^2,1681
70 + 47,117
(98 + 95) * 26,5018
94 - 51,43
6 * 4,24
23 + 82,105
85^2,7225
91^2,8281
93 - 79,14
99 - 88,11
30 * 87,2610
(65 + 52) * 36,4212
(3 + 35) * 49,1862
97 - 31,66
36 + 23,59
0^2,0
83^2,6889
87^2,7569
49^2,2401
50^2,2500
54 + 75,129
30 + 90,120
66^2,4356
35 * 64,2240
16 * 81,1296
43 - 15,28
81 * 81,6561
(63 + 60) * 83,10209
53 * 72,3816
20 + 55,75
(43 + 31) * 93,6882
(13 + 44) * (76 - 51),1425
17 * 98,1666
29 + 51,80
54^2,2916
74^2,5476
41^2,1681
18^2,324
(10 + 26) * 96,3456
44 * 90,3960
76 - 21,55
43 * 36,1548
65 + 19,84
64 * 33,2112
34 * 16,544
(59 + 39) * (45 - 13),3136
49^2,2401
(33 + 21) * 63,3402
21 + 17,38
49 + 75,124
58^2,3364
80 * 87,6960
(51 + 62) * (50 - 2),5424
12^2,144
(68 + 21) * 21,1869
26 - 11,15
(9 + 12) * (92 - 5),1827
74 * 21,1554
55 + 21,76
(98 + 14) * (91 - 26),7280
15 - 15,0
(42 + 46) * 30,2640
88 - 83,5
56 - 23,33
90 + 75,165
(70 + 74) * (70 - 25),6480
80 * 52,4160
96^2,9216
66 - 57,9
35 + 12,47
65 - 22,43
(9 + 13) * (53 - 28),550
66 + 42,108
37 * 59,2183
42 - 26,16
(88 + 97) * 8,1480
38^2,1444
95^2,9025
43 * 79,3397
64 + 18,82
66 * 70,4620
56 + 37,93
(32 + 35) * (92 - 80),804
33 - 14,19
(29 + 54) * 40,3320
(39 + 19) * 83,4814
56 + 75,131
54 + 99,153
70^2,4900
(55 + 38) * 32,2976
53 * 92,4876
69^2,4761
82 * 55,4510
29 + 17,46
50 * 39,1950
72 - 61,11
78 * 64,4992
(47 + 19) * 43,2838
68 + 28,96
79 - 33,46
58^2,3364
65^2,4225
23 + 93,116
(44 + 46) * 13,1170
49^2,2401
54 * 64,3456
34 + 68,102
68 - 38,30
(99 + 49) * 30,4440
(90 + 61) * 7,1057
(49 + 52) * 4,404
72 - 18,54
26 * 84,2184
50^2,2500
30^2,900
11 + 30,41
47 * 66,3102
0 + 10,10
12 * 83,996
24 * 48,1152
66 - 61,5
46^2,2116
93 * 52,4836
33 + 61,94
52 / 52,1
93 + 72,165
(40 + 34) * (46 - 13),2442
80 + 80,160
21 + 80,101
91 + 57,148
23 - 13,10
(18 + 86) * (29 - 11),1872
(88 + 32) * 99,11880
68 * 28,1904
(8 + 67) * 91,6825
70 + 84,154
81^2,6561
(72 + 45) * (48 - 42),702
11 + 43,54
74^2,5476
26^2,676
18^2,324
78^2,6084
29 + 27,56
91^2,8281
62 * 14,868
(1 + 81) * 39,3198
38 + 75,113
86 - 52,34
(7 + 91) * 50,4900
22 * 21,462
67^2,4489
49 * 94,4606
63 + 45,108
62 - 14,48
92 + 82,174
(58 + 15) * 63,4599
(10 + 9) * 34,646
65^2,4225
31 * 42,1302
43^2,1849
(33 + 3) * 48,1728
85 * 56,4760
20 * 102,2040
(9 + 82) * (79 - 75),364
39^2,1521
99 * 73,7227
56^2,3136
81^2,6561
59^2,3481
50 + 28,78
41^2,1681
53 * 35,1855
76 * 12,912
83 * 74,6142
46^2,2116
(34 + 60) * (96 - 89),658
28^2,784
53 + 59,112
24^2,576
52 + 95,147
62 - 56,6
26^2,676
50 + 29,79
37^2,1369
74^2,5476
(56 + 17) * (92 - 40),3796
(17 + 99) * 83,9628
49 + 62,111
56 + 94,150
38 + 76,114
20^2,400
(18 + 41) * (62 - 28),2006
(25 + 44) * 77,5313
68^2,4624
74^2,5476
(92 + 8) * 22,2200
(8 + 55) * 50,3150
91 - 57,34
91 - 77,14
64 * 14,896
34 - 26,8
35^2,1225
54 - 17,37
83 + 93,176
39 / 39,1
98^2,9604
(38 + 69) * 60,6420
(85 + 14) * 38,3762
14^2,196
78 - 44,34
91 - 63,28
(59 + 10) * 9,621
22^2,484
79 - 70,9
37 + 47,84
41^2,1681
63 - 43,20
(28 + 66) * 96,9024
(88 + 44) * 46,6072
(51 + 35) * 47,4042
79^2,6241
34^2,1156
(34 + 90) * 97,12028
29 + 79,108
76 + 64,140
41 * 53,2173
57 + 59,116
(26 + 89) * 50,5750
81^2,6561
50 * 16,800
29^2,841
65^2,4225
93 - 50,43
(87 + 97) * 59,10856
87^2,7569
61^2,3721
85^2,7225
44 + 29,73
38 + 28,66
80^2,6400
91 + 71,162
86 - 49,37
62 + 14,76
40 - 32,8
31 + 42,73
17 + 13,30
42^2,1764
88 * 84,7392
33 * 64,2112
34^2,1156
62 + 41,103
29 * 44,1276
85^2,7225
35 + 75,110
50 + 33,83
54^2,2916
76 - 32,44
(56 + 91) * 45,6615
85 + 56,141
(58 + 69) * 75,9525
82 * 61,5002
59 * 82,4838
(76 + 80) * 2,312
24^2,576
79^2,6241
(77 + 32) * 7,763
39^2,1521
33 + 61,94
(81 + 56) * 49,6713
(82 + 28) * 1,110
44 + 47,91
(11 + 4) * 68,1020
21 + 89,110
93 + 89,182
43 * 79,3397
70 + 72,142
83 * 99,8217
(20 + 40) * 3,180
55^2,3025
8 * 10,80
75^2,5625
50 * 69,3450
76 + 46,122
(34 + 92) * 11,1386
15 * 90,1350
85 + 60,145
45^2,2025
58 * 25,1450
(50 + 71) * 84,10164
33 - 20,13
83 * 77,6391
46 - 19,27
76 * 80,6080
49^2,2401
34^2,1156
94^2,8836
(18 + 90) * (97 - 20),8316
63^2,3969
33 * 68,2244
(7 + 64) * 91,6461
49 - 17,32
(10 + 46) * 38,2128
63 + 91,154
20 + 74,94
32 - 17,15
64 + 19,83
13^2,169
(93 + 88) * (53 - 7),8326
(99 + 27) * (22 - 13),1134
89 - 24,65
63^2,3969
55^2,3025
66 - 17,49
49 * 37,1813
95 + 96,191
25 * 17,425
60 - 37,23
53^2,2809
36 + 69,105
48 + 61,109
88 * 29,2552
24^2,576
56 + 37,93
(18 + 47) * 69,4485
24 + 22,46
93 - 65,28
81 - 47,34
50 + 39,89
54 + 56,110
17 - 13,4
18 + 31,49
(61 + 26) * 67,5829
98 + 30,128
26 + 43,69
38 + 85,123
76 - 54,22
37^2,1369
66 - 57,9
86 + 49,135
36^2,1296
19 + 64,83
35^2,1225
40 + 23,63
60^2,3600
14 * 12,168
(83 + 44) * (39 - 30),1143
(47 + 98) * 39,5655
27^2,729
70^2,4900
(33 + 92) * 72,9000
4 * 9,36
80 * 93,7440
31^2,961
11 * 61,671
(24 + 1) * 5,125
87 + 19,106
47 + 25,72
6 * 9,54
80^2,6400
47^2,2209
64 * 101,6464
(15 + 80) * 51,4845
15^2,225
30^2,900
72 * 27,1944
18 * 31,558
28 + 41,69
40^2,1600
86^2,7396
22^2,484
(68 + 35) * 93,9579
44 - 29,15
49 + 94,143
(37 + 37) * (47 - 27),1480
(51 + 22) * 4,292
91 - 28,63
56 + 63,119
(94 + 18) * 79,8848
37 * 77,2849
97 * 70,6790
(58 + 38) * 67,6432
35 * 48,1680
85 - 19,66
92 - 64,28
18 * 24,432
93 * 15,1395
78^2,6084
42 + 17,59
35 * 65,2275
(71 + 52) * 47,5781
71 * 27,1917
61^2,3721
44^2,1936
(49 + 79) * 99,12672
23^2,529
86 * 38,3268
15^2,225
(93 + 79) * 35,6020
15^2,225
67^2,4489
96 - 76,20
54 - 26,28
74 + 55,129
35^2,1225
63^2,3969
89 + 31,120
(63 + 16) * (57 - 2),4345
69 - 27,42
74 * 60,4440
38 * 83,3154
91 * 57,5187
75 - 18,57
(11 + 86) * (94 - 9),8245
78 + 95,173
19 * 94,1786
64 * 32,2048
76 - 28,48
74 - 60,14
99 * 41,4059
(99 + 53) * 39,5928
33^2,1089
20^2,400
71 + 19,90
(17 + 7) * (70 - 16),1296
29 + 89,118
46 + 90,136
71 - 55,16
35 * 18,630
26 + 76,102
68 * 60,4080
(79 + 90) * 64,10816
36 + 90,126
62^2,3844
(91 + 32) * 47,5781
36 - 22,14
19 + 11,30
46^2,2116
68 * 21,1428
(68 + 85) * 63,9639
(22 + 1) * 11,253
53^2,2809
56 * 53,2968
(53 + 61) * (68 - 6),7068
86 - 80,6
80 - 13,67
(68 + 35) * (34 - 11),2369
83^2,6889
58^2,3364
23^2,529
65 * 22,1430
58^2,3364
(97 + 81) * 78,13884
(92 + 14) * (93 - 87),636
(28 + 32) * (67 - 61),360
31^2,961
95 + 65,160
64 * 35,2240
51^2,2601
27 + 81,108
21 + 94,115
52^2,2704
23^2,529
95^2,9025
56 * 75,4200
38 * 62,2356
95 * 93,8835
18 * 39,702
56^2,3136
35 + 28,63
25 * 70,1750
(1 + 77) * 51,3978
(67 + 85) * 73,11096
57 + 44,101
49 * 100,4900
90^2,8100
82^2,6724
(83 + 26) * (71 - 11),6540
17 + 90,107
38 + 62,100
66 - 54,12
21^2,441
(60 + 34) * 39,3666
40 * 32,1280
55 * 61,3355
83 + 77,160
(3 + 30) * 80,2640
34 + 46,80
(84 + 81) * 2,330
45^2,2025
75 + 29,104
40 + 32,72
56 + 23,79
40 * 40,1600
88 * 65,5720
15^2,225
(63 + 60) * 84,10332
29 - 17,12
54 * 26,1404
30^2,900
(51 + 32) * 17,1411
(95 + 32) * 11,1397
56 * 16,896
85 - 70,15
96 + 29,125
49 - 35,14
70 - 34,36
61^2,3721
(82 + 33) * 96,11040
73^2,5329
99^2,9801
(18 + 89) * 22,2354
(7 + 13) * 13,260
75 + 97,172
(77 + 41) * (87 - 69),2124
12 + 47,59
95 - 56,39
90 * 28,2520
63 * 53,3339
(74 + 19) * 27,2511
52^2,2704
11 * 51,561
25 + 44,69
61 - 57,4
(16 + 60) * (56 - 14),3192
29 + 32,61
98^2,9604
(15 + 67) * (72 - 35),3034
12 + 81,93
78 * 35,2730
(87 + 10) * (54 - 30),2328
(61 + 76) * 4,548
22^2,484
40 * 79,3160
35^2,1225
44 + 59,103
80 + 91,171
93^2,8649
(38 + 69) * 50,5350
71 - 27,44
(26 + 87) * (29 - 1),3164
97 * 26,2522
76^2,5776
(45 + 45) * 73,6570
(6 + 4) * 80,800
(76 + 66) * (85 - 42),6106
33^2,1089
78^2,6084
56 * 43,2408
58^2,3364
12^2,144
73 * 33,2409
35 * 75,2625
(52 + 23) * 89,6675
77 + 14,91
48 * 33,1584
44^2,1936
56 - 28,28
(26 + 12) * (48 - 4),1672
87^2,7569
(2 + 73) * 22,1650
35 * 25,875
(84 + 7) * 51,4641
43 * 27,1161
91^2,8281
94 - 52,42
91 * 63,5733
48 * 74,3552
(91 + 17) * 41,4428
65 + 21,86
83 - 27,56
21^2,441
(45 + 46) * 54,4914
17 + 74,91
56 + 28,84
(88 + 38) * 40,5040
30^2,900
83^2,6889
(37 + 92) * 52,6708
(35 + 19) * 95,5130
12 * 47,564
84 + 48,132
36^2,1296
80 * 80,6400
(97 + 41) * 97,13386
(72 + 96) * 59,9912
38^2,1444
39 - 14,25
35^2,1225
97^2,9409
66 * 57,3762
84^2,7056
46 * 95,4370
66 + 90,156
17^2,289
17 + 23,40
55^2,3025
(5 + 70) * (99 - 16),6225
69^2,4761
45 + 47,92
28 * 66,1848
(59 + 14) * 22,1606
(93 + 78) * 44,7524
52^2,2704
15^2,225
90 + 56,146
22 * 28,616
(65 + 15) * (90 - 71),1520
67 * 62,4154
92 - 72,20
34^2,1156
98 - 62,36
41 + 48,89
92 * 81,7452
67 - 30,37
24 + 53,77
96 * 91,8736
62 * 14,868
96^2,9216
(69 + 3) * (63 - 42),1512
57 - 49,8
(46 + 94) * (31 - 28),420
88^2,7744
(7 + 15) * 54,1188
98 + 100,198
98 + 92,190
(12 + 3) * 25,375
71 * 61,4331
88 - 64,24
73 - 43,30
27^2,729
80 * 91,7280
28 + 79,107
14 + 51,65
25 - 21,4
33^2,1089
52^2,2704
84^2,7056
93 + 86,179
93 * 50,4650
51 * 46,2346
64 * 72,4608
20 + 79,99
26^2,676
36 * 44,1584
67^2,4489
(6 + 59) * 23,1495
(79 + 33) * (68 - 49),2128
82 * 13,1066
12^2,144
68^2,4624
76^2,5776
81^2,6561
93 + 34,127
66 + 54,120
(80 + 59) * 36,5004
92 * 36,3312
18^2,324
94 * 32,3008
77 - 43,34
25 / 25,1
79 - 76,3
66 + 74,140
31 + 23,54
97 * 73,7081
58 - 38,20
21^2,441
15 + 22,37
56 - 16,40
79 - 16,63
12^2,144
97 - 79,18
92 / 92,1
28 + 48,76
(16 + 30) * 64,2944
64 + 101,165
65 + 49,114
93 - 69,24
77 + 67,144
63^2,3969
88^2,7744
35 + 48,83
82^2,6724
82^2,6724
20 * 26,520
47 * 102,4794
60^2,3600
28^2,784
41 * 66,2706
(3 + 57) * (72 - 72),0
83 - 45,38
69 + 75,144
(42 + 97) * (25 - 22),417
(53 + 45) * 51,4998
86 * 30,2580
35 * 67,2345
(79 + 54) * (62 - 6),7448
77^2,5929
(95 + 21) * 9,1044
61^2,3721
70 - 39,31
99 * 16,1584
(12 + 26) * (75 - 72),114
72 * 36,2592
76 + 80,156
97 - 73,24
40 + 97,137
69 + 35,104
(46 + 6) * 10,520
32^2,1024
(88 + 41) * (98 - 88),1290
57 + 94,151
(72 + 80) * 29,4408
80^2,6400
83 + 14,97
13^2,169
93 + 48,141
87 * 86,7482
(99 + 7) * 6,636
79 + 55,134
(64 + 29) * (31 - 8),2139
(16 + 73) * 96,8544
67 * 19,1273
56 - 53,3
(42 + 40) * 21,1722
67^2,4489
87 - 18,69
15 * 62,930
10 + 57,67
30 * 65,1950
67 - 26,41
62 * 87,5394
26 * 62,1612
76 * 51,3876
58^2,3364
13^2,169
16^2,256
29 * 30,870
(18 + 40) * (48 - 44),232
(50 + 33) * (90 - 19),5893
76 - 12,64
35^2,1225
70 + 61,131
69 * 17,1173
66^2,4356
6 + 9,15
79^2,6241
13^2,169
60^2,3600
(40 + 5) * 69,3105
(42 + 50) * 50,4600
79 + 67,146
16 + 55,71
20^2,400
(37 + 77) * 39,4446
59 + 99,158
69 + 45,114
21 * 89,1869
70 + 24,94
84 + 53,137
97^2,9409
26 + 62,88
38 * 85,3230
(97 + 53) * 32,4800
29 + 61,90
(68 + 56) * 55,6820
12 * 26,312
36 + 69,105
6^2,36
89^2,7921
18 * 28,504
19 * 99,1881
(37 + 36) * (78 - 37),2993
41^2,1681
11^2,121
78^2,6084
88 + 39,127
(12 + 91) * 68,7004
61 + 87,148
(9 + 38) * 39,1833
85 + 95,180
83 * 55,4565
93 * 65,6045
92 + 72,164
59^2,3481
11 * 99,1089
19^2,361
(97 + 37) * 64,8576
12^2,144
50 * 34,1700
24 + 50,74
75^2,5625
71^2,5041
85 + 39,124
91 * 71,6461
(28 + 74) * 80,8160
92 * 17,1564
34 * 55,1870
87^2,7569
81 + 31,112
38^2,1444
96 * 22,2112
30^2,900
68 + 90,158
(29 + 9) * 17,646
52^2,2704
(16 + 4) * 19,380
(17 + 63) * 42,3360
54 * 17,918
63^2,3969
37 + 50,87
96 * 86,8256
93^2,8649
12 + 84,96
71^2,5041
(44 + 84) * (25 - 5),2560
(25 + 62) * 51,4437
19^2,361
42 + 96,138
32 * 25,800
(1 + 3) * (99 - 25),296
(59 + 22) * 4,324
56^2,3136
90 * 37,3330
96^2,9216
87 - 23,64
(80 + 66) * 28,4088
70 + 75,145
80 - 78,2
27^2,729
14 * 25,350
12 * 49,588
89 * 24,2136
71 - 47,24
78^2,6084
(7 + 64) * 48,3408
63 - 45,18
86 - 74,12
98 - 40,58
(10 + 22) * (94 - 43),1632
43^2,1849
(26 + 93) * 94,11186
27^2,729
66^2,4356
(51 + 77) * 97,12416
36 * 52,1872
20 + 30,50
72 * 86,6192
48 - 32,16
(33 + 69) * (28 - 11),1734
(27 + 17) * (90 - 12),3432
12 + 43,55
17 - 12,5
72 + 65,137
(78 + 22) * 23,2300
39 * 20,780
69 + 38,107
4^2,16
(18 + 93) * (95 - 23),7992
26^2,676
(15 + 35) * 7,350
(79 + 54) * 13,1729
40 * 61,2440
87^2,7569
80 - 62,18
29^2,841
56^2,3136
15 + 24,39
56^2,3136
34^2,1156
61 * 24,1464
43 + 98,141
(96 + 26) * (87 - 80),854
68^2,4624
63 * 60,3780
69 - 65,4
91 - 86,5
75 * 34,2550
(15 + 21) * 87,3132
97 * 46,4462
22 + 42,64
80 * 81,6480
88^2,7744
(49 + 71) * (42 - 37),600
55 + 22,77
(87 + 13) * (70 - 36),3400
(75 + 33) * 10,1080
83 - 55,28
46 + 33,79
(11 + 55) * 55,3630
(30 + 66) * 65,6240
97 - 26,71
